Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
"Abacavir Sulfate Tablet, Film Coated",GlaxoSmithKline,888-825-5249,"Ziagen, Tablet, Film Coated, 300 mg (NDC 49702-221-18)",New,1/3/2023,"
","The anticipated date that GSK will cease distribution of the product is approximately November 27, 2023. Ziagen Oral Solution (49702-222-48) will still be available.","
",Discontinuation of the manufacture of the drug,Antiviral,To Be Discontinued,1/3/2023,1/3/2023,1/3/2023,"
","
","
","
","
","
","
"
"Abacavir Sulfate, Lamivudine Tablet, Film Coated",GlaxoSmithKline (ViiV Healthcare),888-825-5249,"Epzicom, Tablet, Film Coated, 600 mg; 300 mg (NDC 49702-206-13)",New,1/3/2023,"
","The anticipated date that GSK will cease distribution of the product is approximately January 1, 2024.","
","
",Antiviral,To Be Discontinued,1/3/2023,1/3/2023,1/3/2023,"
","
","
","
","
","
","
"
"Abacavir Sulfate, Lamivudine, Zidovudine Tablet, Film Coated",GlaxoSmithKline (ViiV Healthcare),888-825-5249,"Trizivir, Tablet, Film Coated, 300 mg; 150 mg; 300 mg (NDC 49702-217-18)",New,1/3/2023,"
","The anticipated date that GSK will cease distribution of the product is approximately November 27, 2023.","
","
",Antiviral,To Be Discontinued,1/3/2023,1/3/2023,1/3/2023,"
","
","
","
","
","
","
"
"Albuterol Sulfate Aerosol, Metered",Sandoz Inc.,800-525-8747,"Proventil-hfa, Aerosol, Metered, 108 ug (NDC 66758-959-85)",New,4/13/2023,"
","
","
","
",Pulmonary/Allergy,To Be Discontinued,4/13/2023,4/13/2023,4/20/2023,"
","
","
","
","
","
","
"
Albuterol Sulfate Solution,Nephron Pharmaceuticals Corporation,800-443-4313,"Albuterol Sulfate, Solution, 2.5 mg/.5 mL (NDC 0487-9901-30)",Revised,8/22/2023,On allocation,"
","
","
",Pulmonary/Allergy; Pediatric,Current,"
","
",10/25/2022,"
","
","
","
","
","
","
"
Alclometasone Dipropionate Cream,Sandoz Inc.,800-525-8747,"Cream, .5 mg/1 g (NDC 0168-0263-60)",New,11/27/2023,"
","
","
",Discontinuation of the manufacture of the drug,Dermatology,To Be Discontinued,"
",11/27/2023,11/27/2023,"
","
","
","
","
","
","
"
Alclometasone Dipropionate Cream,Sandoz Inc.,800-525-8747,"Cream, .5 mg/1 g (NDC 0168-0263-45)",New,11/27/2023,"
","
","
",Discontinuation of the manufacture of the drug,Dermatology,To Be Discontinued,"
",11/27/2023,11/27/2023,"
","
","
","
","
","
","
"
Alclometasone Dipropionate Cream,Sandoz Inc.,800-525-8747,"Cream, .5 mg/1 g (NDC 0168-0263-15)",New,11/27/2023,"
","
","
",Discontinuation of the manufacture of the drug,Dermatology,To Be Discontinued,"
",11/27/2023,11/27/2023,"
","
","
","
","
","
","
"
Alclometasone Dipropionate Ointment,Sandoz Inc.,800-525-8747,"Alclometasone Dipropionate, Ointment, .5 mg/1 g (NDC 0168-0264-15)",Revised,3/16/2023,"
","
","
","
",Dermatology,To Be Discontinued,3/16/2023,3/16/2023,3/16/2023,"
","
","
","
","
","
","
"
Alclometasone Dipropionate Ointment,Sandoz Inc.,800-525-8747,"Alclometasone Dipropionate, Ointment, .5 mg/1 g (NDC 0168-0264-45)",Revised,3/16/2023,"
","
","
","
",Dermatology,To Be Discontinued,3/16/2023,3/16/2023,3/16/2023,"
","
","
","
","
","
","
"
Alclometasone Dipropionate Ointment,Sandoz Inc.,800-525-8747,"Alclometasone Dipropionate, Ointment, .5 mg/1 g (NDC 0168-0264-60)",Revised,3/16/2023,"
","
","
","
",Dermatology,To Be Discontinued,3/16/2023,3/16/2023,3/16/2023,"
","
","
","
","
","
","
"
Alprostadil Suppository,"Mylan Institutional, a Viatris Company",800-796-9526,"Muse, Suppository, 250 ug (NDC 0037-8120-06)",Revised,12/1/2023,Out of stock; Estimated release dates to be determined,"
","
",Delay in shipping of the drug,Urology,Current,"
","
",10/18/2022,"
","
","
","
","
","
","
"
Alprostadil Suppository,"Mylan Institutional, a Viatris Company",800-796-9526,"Muse, Suppository, 500 ug (NDC 0037-8130-06)",Revised,12/1/2023,Out of stock; Estimated release dates to be determined,"
","
",Delay in shipping of the drug,Urology,Current,"
","
",10/18/2022,"
","
","
","
","
","
","
"
Alprostadil Suppository,"Mylan Institutional, a Viatris Company",800-796-9526,"Muse, Suppository, 1000 ug (NDC 0037-8140-06)",Revised,12/1/2023,Out of stock; Estimated release dates to be determined,"
","
",Delay in shipping of the drug,Urology,Current,"
","
",10/18/2022,"
","
","
","
","
","
","
"
Alvimopan Capsule,Merck Sharp & Dohme LLC,800-672-6372,"Entereg, Capsule, 12 mg (NDC 67919-020-10)",New,3/2/2023,"
","To be discontinued May 31, 2023","
","
",Gastroenterology,To Be Discontinued,3/2/2023,3/2/2023,3/2/2023,"
","
","
","
","
","
","
"
Amifostine Injection,"Clinigen, Inc.",877-776-5385,"Ethyol, Injection, 500 mg/10 mL (NDC 76310-017-50)",Reverified,5/16/2022,Shortage anticipated from June 2020; Estimated shortage duration:  Unknown,"
","
","
",Oncology; Other,Current,"
","
",5/21/2020,"
","
","
","
","
","
","
"
Amino Acid Injection,B. Braun Medical Inc.,800-227-2862,"Plenamine, Injection, 0.15 (NDC 0264-4500-00)",Revised,11/2/2023,Available,"
","
","
",Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amino Acid Injection,"ICU Medical, Inc.",1-866-829-9025 or ProductAvailability@icumed.com,"Aminosyn II 15% In Plastic Container, Injection, 0.15 (NDC 0990-7171-17)",Reverified,11/27/2023,Available,"ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-7171-17","
","
",Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amino Acid Injection,"ICU Medical, Inc.",1-866-829-9025 or ProductAvailability@icumed.com,"Aminosyn II 10% In Plastic Container, Injection, 0.1 (NDC 0990-7172-17)",Reverified,11/27/2023,Available,"ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-7172-17","
","
",Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amino Acid Injection,"ICU Medical, Inc.",1-866-829-9025 or ProductAvailability@icumed.com,"Aminosyn-PF 7%, Injection, 0.07 (NDC 0990-4178-03)",Reverified,11/27/2023,Unavailable,"ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-4178-03","
",Shortage of an active ingredient,Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amino Acid Injection,"ICU Medical, Inc.",1-866-829-9025 or ProductAvailability@icumed.com,"Aminosyn-PF 10%, Injection, 0.1 (NDC 0990-4179-05)",Reverified,11/27/2023,Available to Contracted customers only,"ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-4179-05","
",Shortage of an active ingredient,Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amino Acid Injection,Baxter Healthcare,888-229-0001,"Clinisol 15% Sulfite Free In Plastic Container, Injection, 0.15 (NDC 0338-0502-06)",Reverified,8/23/2023,Available,"
","
","
",Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amino Acid Injection,B. Braun Medical Inc.,800-227-2862,"Plenamine, Injection, 0.15 (NDC 0264-4500-05)",Revised,11/2/2023,Available,"
","
","
",Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amino Acid Injection,Baxter Healthcare,888-229-0001,"Clinisol 15% Sulfite Free In Plastic Container, Injection, 0.15 (NDC 0338-0502-03)",Reverified,9/27/2023,Available,"
","
",Demand increase for the drug,Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Aminocaproic Acid Solution,VistaPharm,727-530-1633,"Aminocaproic Acid, Solution, .25 g/1 mL (NDC 66689-330-08)",New,3/8/2023,"
","
","
","
",Hematology,To Be Discontinued,3/8/2023,3/8/2023,3/8/2023,"
","
","
","
","
","
","
"
Amoxapine Tablet,"Teva Pharmaceuticals USA, Inc.",800-545-8800,"Tablet, 50 mg (NDC 0591-5714-01)",Revised,12/6/2023,Available,"
","
","
",Psychiatry,Current,"
","
",3/9/2020,"
","
","
","
","
","
","
"
Amoxapine Tablet,"Teva Pharmaceuticals USA, Inc.",800-545-8800,"Tablet, 25 mg (NDC 0591-5713-01)",Revised,12/6/2023,Available,"
","
","
",Psychiatry,Current,"
","
",3/9/2020,"
","
","
","
","
","
","
"
Amoxapine Tablet,"Teva Pharmaceuticals USA, Inc.",800-545-8800,"Tablet, 100 mg (NDC 0591-5715-01)",Revised,12/6/2023,Allocation,"
","
",Demand increase for the drug,Psychiatry,Current,"
","
",3/9/2020,"
","
","
","
","
","
","
"
Amoxapine Tablet,"Teva Pharmaceuticals USA, Inc.",800-545-8800,"Tablet, 150 mg (NDC 0591-5716-30)",Revised,12/6/2023,Available,"
","
","
",Psychiatry,Current,"
","
",3/9/2020,"
","
","
","
","
","
","
"
"Amoxicillin Powder, For Suspension",Aurobindo Pharma USA,866-850-2876,"Amoxicillin, Powder, For Suspension, 125 mg/5 mL (NDC 65862-706-01)",Revised,6/13/2023,On allocation.,"
","
","
",Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
"Amoxicillin Powder, For Suspension",Aurobindo Pharma USA,866-850-2876,"Amoxicillin, Powder, For Suspension, 200 mg/5 mL (NDC 65862-070-01)",Revised,6/13/2023,On allocation.,"
","
","
",Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
"Amoxicillin Powder, For Suspension",Aurobindo Pharma USA,866-850-2876,"Amoxicillin, Powder, For Suspension, 250 mg/5 mL (NDC 65862-707-01)",Revised,6/13/2023,On allocation.,"
","
","
",Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
"Amoxicillin Powder, For Suspension",Aurobindo Pharma USA,866-850-2876,"Amoxicillin, Powder, For Suspension, 400 mg/5 mL (NDC 65862-071-01)",Revised,6/13/2023,On allocation.,"
","
","
",Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.",800-631-2174,"Amoxicillin, Powder, For Suspension, 125 mg/5 mL (NDC 0143-9888-01)",Reverified,11/27/2023,Available,"
","
","
",Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
