Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
Adenosine Injection,Teva,800-545-8800,NDC 0703-8776-01 (60 mg/20 mL (3 mg/mL)),New,8/11/2022,"
",Product is currently unavailable and no future production expected for an extended period.,"
","
",Cardiovascular,To be Discontinued,8/11/2022,8/11/2022,8/11/2022,"
","
","
","
","
","
","
"
Adenosine Injection,Teva,800-545-8800,NDC 0703-8777-01 (90 mg/30 mL (3 mg/mL)),New,8/11/2022,"
",Product is  available with an expected supply duration until JUL 2022.  No future production expected for an extended period.,"
","
",Cardiovascular,To be Discontinued,8/11/2022,8/11/2022,8/11/2022,"
","
","
","
","
","
","
"
Adenosine Injection,Hospira,844-646-4398,60 mg/20 mL (3 mg/mL); Single Dose Glass Fliptop Vial (NDC 0409-1932-01),New,9/12/2022,"
",Discontinuation of the manufacture of the drug.,"
","
",Cardiovascular,To be Discontinued,9/12/2022,9/12/2022,6/28/2022,"
","
","
","
","
","
","
"
Adenosine Injection,Hospira,844-646-4398,90 mg/30 mL (3 mg/mL); Single Dose Glass Fliptop Vial (NDC 0409-1932-02),New,6/28/2022,"
","
","
","
",Cardiovascular,To be Discontinued,"
","
",6/28/2022,"
","
","
","
","
","
","
"
"Albuterol Sulfate Aerosol, Metered","Endo Pharmaceuticals, Inc.","800-828-9393, option 5, then option 2",90 mcg  (NDC 0254-1007-52),New,7/6/2021,"
","
","
","
",Pulmonary/Allergy,To be Discontinued,"
","
",7/6/2021,"
","
","
","
","
","
","
"
Albuterol Sulfate Inhalational Solution,Akorn Pharmaceuticals,800-932-5676,0.5%; 20mL (NDC 50383-741-20),New,10/25/2022,Unavailable; Product availability estimated to be Q2 2023,"
","
",Other,Pulmonary/Allery; Pediatric,Current,"
","
",10/25/2022,"
","
","
","
","
","
","
"
Albuterol Sulfate Inhalational Solution,Nephron Pharmaceuticals,800-443-4313,0.5%; 0.5mL (NDC 0487-9901-30),New,10/25/2022,Available,"
","
",Other,Pulmonary/Allery; Pediatric,Current,"
","
",10/25/2022,"
","
","
","
","
","
","
"
Aliskiren and Hydrochlorothiazide Tablets,Noden Pharma,844-399-5701,150 mg / 12.5 mg (NDC 70839-112-30),New,12/16/2021,"
","
","
","
",Cardiovascular,To be Discontinued,"
","
",12/16/2021,"
","
","
","
","
","
","
"
Aliskiren and Hydrochlorothiazide Tablets,Noden Pharma,844-399-5701,150 mg / 25 mg (NDC 70839-125-30),New,12/16/2021,"
","
","
","
",Cardiovascular,To be Discontinued,"
","
",12/16/2021,"
","
","
","
","
","
","
"
Aliskiren and Hydrochlorothiazide Tablets,Noden Pharma,844-399-5701,300 mg / 12.5 mg (NDC 70839-312-30),New,12/16/2021,"
","
","
","
",Cardiovascular,To be Discontinued,"
","
",12/16/2021,"
","
","
","
","
","
","
"
Aliskiren and Hydrochlorothiazide Tablets,Noden Pharma,844-399-5701,300 mg / 25 mg; (NDC 70839-325-30),New,12/16/2021,"
","
","
","
",Cardiovascular,To be Discontinued,"
","
",12/16/2021,"
","
","
","
","
","
","
"
Alprostadil (Muse) Suppository,"Mylan, a Viatris company",800-796-9526,250mcg Suppository 6s (NDC 0037-8120-06),Reverified,1/17/2023,Out of stock; Estimated release dates to be determined,Resupply TBD; open investigation,"
",Other,Urology,Current,"
","
",10/18/2022,"
","
","
","
","
","
","
"
Alprostadil (Muse) Suppository,"Mylan, a Viatris company",800-796-9526,500mcg Suppository 6s (NDC 0037-8130-06),Reverified,1/17/2023,Out of stock; Estimated release dates to be determined,Resupply TBD; open investigation,"
",Other,Urology,Current,"
","
",10/18/2022,"
","
","
","
","
","
","
"
Alprostadil (Muse) Suppository,"Mylan, a Viatris company",800-796-9526,1000mcg Suppository 6s (NDC 0037-8140-06),Reverified,1/17/2023,Out of stock; Estimated release dates to be determined,Resupply TBD; open investigation,"
",Other,Urology,Current,"
","
",10/18/2022,"
","
","
","
","
","
","
"
Alprostadil Injection,Teva,800-545-8800,NDC 0703-1501-02 (500 mcg/mL 1 mL Single Dose Vial),New,8/11/2022,"
",Product is currently unavailable and no future production expected for an extended period.,"
","
",Pediatric; Cardiovascular,To be Discontinued,8/11/2022,8/11/2022,8/11/2022,"
","
","
","
","
","
","
"
Alprostadil Suppository,"Mylan Specialty, a Viatris Company",800-796-9526,125 mcg (NDC 0037-8110-06),New,6/14/2021,"
","
","
","
",Urology,To be Discontinued,"
","
",6/14/2021,"
","
","
","
","
","
","
"
Aluminum Hydroxide and Magnesium Carbonate (Gaviscon Regular Strength),GlaxoSmithKline,888-367-6471,"Gaviscon Liquid Regular Strength, 95 mg/15mL, 358 mg/15mL, Mint 12oz, (NDC 0135-0094-41)",New,8/6/2021,"
","
","
","
",Gastroenterology,To be Discontinued,"
","
",8/6/2021,"
","
","
","
","
","
","
"
Aluminum Hydroxide and Magnesium Carbonate (Gaviscon Regular Strength),GlaxoSmithKline,888-367-6471,"Gaviscon Liquid Regular Strength, 95 mg/15mL, 358 mg/15mL, Mint 6oz, (NDC 0135-0094-42)",New,8/6/2021,"
","
","
","
",Gastroenterology,To be Discontinued,"
","
",8/6/2021,"
","
","
","
","
","
","
"
Aluminum Hydroxide and Magnesium Carbonate (Gaviscon Regular Strength),GlaxoSmithKline,888-367-6471,"Gaviscon Chewable Tablet, Regular Strength, 80 mg/1, 14.2 mg/1, 100ct Bottle, (NDC 0135-0096-26)",New,8/6/2021,"
","
","
","
",Gastroenterology,To be Discontinued,"
","
",8/6/2021,"
","
","
","
","
","
","
"
Amantadine Hydrochloride Capsules,Sandoz,800-525-8747,100 mg capsules  (NDCs 0781-2320-01 and 0781-2320-05),New,7/16/2020,"
","
","
","
",Antiviral;Neurology,To be Discontinued,"
","
",7/16/2020,"
","
","
","
","
","
","
"
Ambrisentan Tablets,Par Pharmaceutical,"800-828-9393, option 5 then option 2","5 mg (NDC 49884-353-11, 49884-353-62 )",New,12/23/2021,"
","
","
","
",Cardiovascular,To be Discontinued,"
","
",12/23/2021,"
","
","
","
","
","
","
"
Ambrisentan Tablets,Par Pharmaceutical,"800-828-9393, option 5 then option 2","10 mg (NDC 49884-354-11, 49884-354-62)",New,12/23/2021,"
","
","
","
",Cardiovascular,To be Discontinued,"
","
",12/23/2021,"
","
","
","
","
","
","
"
Amifostine Injection,"Clinigen, Inc.",877-776-5385,ETHYOL® (amifostine) for injection: 3 x 500 mg vials (NDC 76310-017-50),Reverified,5/16/2022,Shortage anticipated from June 2020; Estimated shortage duration:  Unknown,"
","
",Other,Oncology;Other,Current,"
","
",5/21/2020,"
","
","
","
","
","
","
"
Amikacin Sulfate Injection,Teva,800-545-8800,"NDC 0703-9032-03 (500 mg/2 mL (250 mg/mL), 10 x 2 mL Single Dose Vials)",New,8/11/2022,"
",Product is currently unavailable and no future production expected for an extended period.,"
","
",Anti-infective,To be Discontinued,8/11/2022,8/11/2022,8/11/2022,"
","
","
","
","
","
","
"
Amikacin Sulfate Injection,Teva,800-545-8800,"NDC 0703-9040-03  (1 g/4 mL (250 mg/mL), 10 x 4 mL Vials)",New,8/11/2022,"
",Product is unavailable and no future production expected for an extended period.,"
","
",Anti-infective,To be Discontinued,8/11/2022,8/11/2022,8/11/2022,"
","
","
","
","
","
","
"
Amino Acids,B. Braun Medical Inc.,800-227-2862,"Plenamine 15% Amino Acids Injection 2,000mL S4505 (NDC 00264-4500-05)",New,6/8/2022,Available,"
","
","
",Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amino Acids,B. Braun Medical Inc.,800-227-2862,"Plenamine 15% Amino Acids Injection 1,000mL S4500 (NDC 00264-4500-00)",Revised,6/8/2022,Available,"
","
","
",Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amino Acids,"ICU Medical, Inc.",877-976-7747,Aminosyn II 15% Sulfite-Free BLK PK 2000 mL (Legacy Hospira NDC 0409-7171-17)(ICU Medical NDC 0990-7171-17),Reverified,1/19/2023,Unavailable,"ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical.","
",Other,Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amino Acids,"ICU Medical, Inc.",877-946-7747,Aminosyn II 10% Sulfite-Free BLK PK 2000 mL (Legacy Hospira NDC 0409-7172-17) (ICU Medical NDC 0990-7172-17),Reverified,1/19/2023,Unavailable,"ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical.","
",Other,Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amino Acids,"ICU Medical, Inc.",877-946-7747,"AMINOSYN™-PF 7%, Sulfite-Free, 500 mL (Legacy Hospira NDC 0409-4178-03) (ICU Medical NDC 0990-4178-03)",Reverified,1/19/2023,Unavailable,"ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical.","
",Other,Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amino Acids,"ICU Medical, Inc.",877-946-7747,"AMINOSYN-PF 10%, Sulfite-Free, (Pediatric Formula) 1000 mL  (Legacy Hospira NDC 0409-4179-05) (ICU Medical NDC 0990-4179-05)",Reverified,1/19/2023,Unavailable,"ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical.","
",Other,Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amino Acids,Baxter Healthcare,888-229-0001,"15% CLINISOL - sulfite-free (Amino Acid) Injection in VIAFLEX Plastic Container. Pharmacy Bulk Package. Not for Direct Infusion. Product Codes: 2B6189 15% 2000 mL (NDC 0338-0502-06), 2B6187 15% 500 mL (NDC 0338-0502-03)",Reverified,1/24/2023,Available,"
","
","
",Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 200 mg, 60 count bottle (NDC 0185-0144-60)",New,2/23/2018,"
","
","
","
",Cardiovascular,To be Discontinued,"
","
",2/23/2018,"
","
","
","
","
","
","
"
Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 200 mg, 90 count bottle (NDC 0185-0144-09)",New,2/23/2018,"
","
","
","
",Cardiovascular,To be Discontinued,"
","
",2/23/2018,"
","
","
","
","
","
","
"
Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 200 mg, 500 count bottle (NDC 0185-0144-05)",New,2/23/2018,"
","
","
","
",Cardiovascular,To be Discontinued,"
","
",2/23/2018,"
","
","
","
","
","
","
"
Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 400 mg, 500 count bottle (NDC 0245-0145-15)",New,2/23/2018,"
","
","
","
",Cardiovascular,To be Discontinued,"
","
",2/23/2018,"
","
","
","
","
","
","
"
Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 400 mg, 30 count bottle (NDC 0245-0145-30)",New,2/23/2018,"
","
","
","
",Cardiovascular,To be Discontinued,"
","
",2/23/2018,"
","
","
","
","
","
","
"
Amitriptyline Hydrochloride Tablets,"Endo Pharmaceuticals, Inc.","800-828-9393, option 5, then option 2","10mg (NDCs 0603-2212-02, 0603-2212-16, 0603-2212-21, and 0603-2212-32)",New,12/16/2021,"
","
","
","
",Psychiatry,To be Discontinued,"
","
",12/16/2021,"
","
","
","
","
","
","
"
Amitriptyline Hydrochloride Tablets,"Endo Pharmaceuticals, Inc.","800-828-9393, option 5, then option 2","25mg (NDCs 0603-2213-02, 0603-2213-21, 0603-2213-30, and 0603-2213-32)",New,12/16/2021,"
","
","
","
",Psychiatry,To be Discontinued,"
","
",12/16/2021,"
","
","
","
","
","
","
"
Amitriptyline Hydrochloride Tablets,"Endo Pharmaceuticals, Inc.","800-828-9393, option 5, then option 2",50mg (NDCs 0603-2214-21 and 0603-2214-32),New,12/16/2021,"
","
","
","
",Psychiatry,To be Discontinued,"
","
",12/16/2021,"
","
","
","
","
","
","
"
Amitriptyline Hydrochloride Tablets,"Endo Pharmaceuticals, Inc.","800-828-9393, option 5, then option 2",75mg (NDCs 0603-2215-21 and 0603-2215-25),New,12/16/2021,"
","
","
","
",Psychiatry,To be Discontinued,"
","
",12/16/2021,"
","
","
","
","
","
","
"
Amitriptyline Hydrochloride Tablets,"Endo Pharmaceuticals, Inc.","800-828-9393, option 5, then option 2",100mg (NDCs 0603-2216-21 and 0603-2216-25),New,12/16/2021,"
","
","
","
",Psychiatry,To be Discontinued,"
","
",12/16/2021,"
","
","
","
","
","
","
"
Amitriptyline Hydrochloride Tablets,"Endo Pharmaceuticals, Inc.","800-828-9393, option 5, then option 2",150mg (NDC 0603-2217-21),New,12/16/2021,"
","
","
","
",Psychiatry,To be Discontinued,"
","
",12/16/2021,"
","
","
","
","
","
","
"
Amitriptyline Hydrochloride Tablets,"Mylan Specialty, a Viatris Company",800-796-9526,10 mg (NDCs 0378-2610-01 and 0378-2610-10),New,8/2/2021,"
","
","
","
",Psychiatry,To be Discontinued,"
","
",8/2/2021,"
","
","
","
","
","
","
"
Amitriptyline Hydrochloride Tablets,"Mylan Specialty, a Viatris Company",800-796-9526,25 mg (NDCs 0378-2625-01 and 0378-2625-10),New,8/2/2021,"
","
","
","
",Psychiatry,To be Discontinued,"
","
",8/2/2021,"
","
","
","
","
","
","
"
Amoxapine Tablets,Teva Pharmaceuticals,800-545-8800,"50 mg, 100 tablets (NDC 0591-5714-01)",Revised,1/9/2023,Available,"
","
","
",Psychiatry,Current,"
","
",3/9/2020,"
","
","
","
","
","
","
"
Amoxapine Tablets,Teva Pharmaceuticals,800-545-8800,"25 mg, 100 tablets (NDC 0591-5713-01)",Revised,1/9/2023,Available,"
","
","
",Psychiatry,Current,"
","
",3/9/2020,"
","
","
","
","
","
","
"
Amoxapine Tablets,Teva Pharmaceuticals,800-545-8800,"100 mg, 100 tablets (NDC 0591-5715-01)",Revised,1/9/2023,Unavailable,Recovery expected TBD,"
",Other,Psychiatry,Current,"
","
",3/9/2020,"
","
","
","
","
","
","
"
Amoxapine Tablets,Teva Pharmaceuticals,800-545-8800,"150 mg, 100 tablets (NDC 0591-5716-01)",Revised,1/9/2023,Available,"
","
","
",Psychiatry,Current,"
","
",3/9/2020,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,"Aurobindo, USA",866-850-2876,"125 mg/5mL (NDCs 65862-706-01, 65862-706-55, and 65862-706-80)",Reverified,1/11/2023,On allocation.,"
","
",Demand increase for drug,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,"Aurobindo, USA",866-850-2876,"200 mg/5mL (NDCs 65862-070-01, 65862-070-50, and 65862-070-75)",Reverified,1/11/2023,On allocation.,"
","
",Demand increase for drug,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,"Aurobindo, USA",866-850-2876,"250 mg/5mL (NDCs 65862-707-01, 65862-707-55, and 65862-707-80)",Reverified,1/11/2023,On allocation.,"
","
",Demand increase for drug,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,"Aurobindo, USA",866-850-2876,"400 mg/5mL (NDCs 65862-071-01, 65862-071-50, and 65862-071-75)",Reverified,1/11/2023,On allocation.,"
","
",Demand increase for drug,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,Hikma Pharmaceuticals,800-631-2174,"125 mg/5mL (NDCs 0143-9888-01, 0143-9888-15, and 0143-9888-80)",Reverified,1/12/2023,Available for current customers.,"
","
",Demand increase for drug,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,Hikma Pharmaceuticals,800-631-2174,"200 mg/5mL (NDCs 0143-9886-01, 0143-9886-50, and 0143-9886-75)",Reverified,1/12/2023,Available for current customers.,"
","
",Demand increase for drug,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,Hikma Pharmaceuticals,800-631-2174,"250 mg/5mL (NDCs 0143-9889-01, 0143-9889-15, and 0143-9889-80)",Reverified,1/12/2023,Available for current customers.,"
","
",Demand increase for drug,Anti-infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,Hikma Pharmaceuticals,800-631-2174,"400 mg/5mL (NDCs 0143-9887-01, 0143-9887-50, and 0143-9887-75)",Reverified,1/12/2023,Available for current customers.,"
","
",Demand increase for drug,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,Sandoz,800-525-8747,125mg/5mL 100 mL (NDC 0781-60-3946),Reverified,1/20/2023,Unavailable; limited supply in Q1 2023,"
","
",Other,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,Sandoz,800-525-8747,125mg/5mL 150 mL (NDC 0781-60-3955),Reverified,1/20/2023,Unavailable; limited supply in Q1 2023,"
","
",Other,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,Sandoz,800-525-8747,250 mg/5 mL 80 mL (NDC 0781-60-3958),Reverified,1/20/2023,Unavailable; limited supply in Q1 2023,"
","
",Other,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,Sandoz,800-525-8747,200 mg/5 mL 100 mL (NDC 0781-61-5646),Reverified,1/20/2023,Unavailable; limited supply in Q1 2023,"
","
",Other,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,Sandoz,800-525-8747,200 mg/5 mL 50 mL (NDC 0781-61-5652),Reverified,1/20/2023,Limited Availability,"
","
",Other,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,Sandoz,800-525-8747,200 mg/5 mL 75 mL (NDC 0781-61-5657),Reverified,1/20/2023,Unavailable; limited supply in Q1 2023,"
","
",Other,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,Sandoz,800-525-8747,400 mg/5 mL 100 mL (NDC 0781-61-5746),Reverified,1/20/2023,Unavailable; limited supply in Q4 2022,"
","
",Other,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,Sandoz,800-525-8747,400 mg/5 mL 50 mL (NDC 0781-61-5752),Reverified,1/20/2023,Limited Availability,"
","
",Other,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,Sandoz,800-545-8747,400 mg/5 mL 75 mL (NDC 0781-61-5757),Reverified,1/20/2023,Limited Availability,"
","
",Other,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,Sandoz,800-525-8747,250mg/5mL 100 mL (NDC 0781-60-4146),Reverified,1/20/2023,Unavailable; limited supply in Q1 2023,"
","
",Other,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,Sandoz,800-525-8747,250mg/5mL 150 mL (NDC 0781-60-4155),Reverified,1/20/2023,Unavailable; limited supply in Q1 2023,"
","
",Other,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,Sandoz,800-525-8747,250mg/5mL 80 mL (NDC 0781-60-4158),Reverified,1/20/2023,Limited Availability,"
","
",Other,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,Teva Pharmaceuticals,800-545-8800,"200 mg/5mL (NDCs 0093-4160-73, 0093-4160-76, and 0093-4160-78)",Revised,1/9/2023,Recovery 04 2023,"
","
",Demand increase for the drug,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,Teva Pharmaceuticals,800-545-800,"250 mg/5mL (NDCs 0093-4155-73, 0093-4155-80, and 0093-4155-79)",Revised,1/9/2023,Recovery 04 2023,"
","
",Demand increase for the drug,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amoxicillin Oral Powder for Suspension,Teva Pharmaceuticals,800-545-8800,"400 mg/5mL (NDCs 0093-4161-73, 0093-4161-76, and 0093-4161-78)",Revised,1/9/2023,Recovery TBD,"
","
",Demand increase for the drug,Anti-Infective; Pediatric,Current,"
","
",10/28/2022,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Rhodes Pharmaceuticals L.P.,888-827-0616,"5 mg, bottles of 100 tablets (NDC 42858-721-01)",Revised,1/18/2023,Unavailable,"
","
",Shortage of active ingredient,Psychiatry,Current,"
","
",10/12/2022,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Rhodes Pharmaceuticals L.P.,888-827-0616,"7.5 mg, bottles of 100 tablets (NDC 42858-722-01)",Revised,1/18/2023,Unavailable,"
","
",Shortage of active ingredient,Psychiatry,Current,"
","
",10/12/2022,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Rhodes Pharmaceuticals L.P.,888-827-0616,"10 mg, bottles of 100 tablets (NDC 42858-723-01)",Revised,1/18/2023,Unavailable,"
","
",Shortage of active ingredient,Psychiatry,Current,"
","
",10/12/2022,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Rhodes Pharmaceuticals L.P.,888-827-0616,"12.5 mg, bottles of 100 tablets (NDC 42858-724-01)",Revised,1/18/2023,Unavailable,"
","
",Shortage of active ingredient,Psychiatry,Current,"
","
",10/12/2022,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,SpecGX LLC,800-325-8888,7.5 mg 100 TABLET in 1 BOTTLE (NDC 0406-8884-01),Revised,1/13/2023,Supply constraints through March 2023,"
","
","
",Psychiatry,Current,"
","
",10/12/2022,"
","
","
","
","
","
","
"
