Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
Amino Acids,"ICU Medical, Inc.",877-976-7747,Aminosyn II 15% Sulfite-Free BLK PK 2000 mL (NDC 0409-7171-17),Reverified,1/7/2021,Available to contracted customers only,"ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical.","
",Shortage of an active ingredient,Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amino Acids,"ICU Medical, Inc.",877-946-7747,Aminosyn II 10% Sulfite-Free BLK PK 2000 mL (NDC 0409-7172-17) (ICU Medical NDC 0990-7172-17),Reverified,1/7/2021,Available to contracted customers only,"ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical.","
",Shortage of an active ingredient,Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amino Acids,"ICU Medical, Inc.",877-946-7747,"AMINOSYN™-PF 7%, Sulfite-Free, 500 mL (NDC 0409-4178-03)",Reverified,1/7/2021,Allocation,"ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical.","
",Shortage of an active ingredient,Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amino Acids,"ICU Medical, Inc.",877-946-7747,"AMINOSYN II 10%, Sulfite-Free, (Pediatric Formula) 1000 mL (Legacy Hospira NDC 0409-4179-05) (ICU Medical NDC 0990-4179-05)",Reverified,1/7/2021,Available to contracted customers only,"ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical.","
",Shortage of an active ingredient,Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amino Acids,Baxter Healthcare,888-229-0001,"15% CLINISOL - sulfite-free (Amino Acid) Injection in VIAFLEX Plastic Container. Pharmacy Bulk Package. Not for Direct Infusion. Product Codes: 2B6189 15% 2000 mL (NDC 0338-0502-06), 2B6187 15% 500 mL (NDC 0338-0502-03)",Reverified,12/22/2020,"Limited Supply, Recovery Q1 2021",On Allocation,"
",Other,Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
"Aminophylline Injection, USP","Hospira, Inc.",844-646-4398,250 mg/10mL (25 mg/mL) Single Dose Glass Fliptop Vial (NDC 0409-5921-01),Revised,12/9/2020,"
","
",Available,"
",Pulmonary/Allergy,Resolved,12/9/2020,"
",7/24/2018,"
","
","
","
","
","
","
"
"Aminophylline Injection, USP","Hospira, Inc.",844-646-4398,500 mg/20mL (25 mg/mL) Single Dose Glass Fliptop Vial (NDC 0409-5922-01),Revised,12/9/2020,"
","
",Available,"
",Pulmonary/Allergy,Resolved,12/9/2020,"
",7/24/2018,"
","
","
","
","
","
","
"
Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 200 mg, 60 count bottle (NDC 0185-0144-60)",New,2/23/2018,"
",Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,"
","
",Cardiovascular,To be Discontinued,2/23/2018,2/23/2018,2/23/2018,"
","
","
","
","
","
","
"
Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 200 mg, 90 count bottle (NDC 0185-0144-09)",New,2/23/2018,"
",Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,"
","
",Cardiovascular,To be Discontinued,2/23/2018,2/23/2018,2/23/2018,"
","
","
","
","
","
","
"
Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 200 mg, 500 count bottle (NDC 0185-0144-05)",New,2/23/2018,"
",Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,"
","
",Cardiovascular,To be Discontinued,2/23/2018,2/23/2018,2/23/2018,"
","
","
","
","
","
","
"
Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 400 mg, 500 count bottle (NDC 0245-0145-15)",New,2/23/2018,"
",Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,"
","
",Cardiovascular,To be Discontinued,2/23/2018,2/23/2018,2/23/2018,"
","
","
","
","
","
","
"
Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 400 mg, 30 count bottle (NDC 0245-0145-30)",New,2/23/2018,"
",Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,"
","
",Cardiovascular,To be Discontinued,2/23/2018,2/23/2018,2/23/2018,"
","
","
","
","
","
","
"
Amoxapine Tablets,Teva Pharmaceuticals,800-545-8800,"50 mg, 100 tablets (NDC 0591-5714-01)",Reverified,1/5/2021,Available,"
","
","
",Psychiatry,Current,3/9/2020,"
",3/9/2020,"
","
","
","
","
","
","
"
Amoxapine Tablets,Teva Pharmaceuticals,800-545-8800,"25 mg, 100 tablets (NDC 0591-5713-01)",Reverified,1/5/2021,On backorder,Recovery March 2021,"
",Other,Psychiatry,Current,3/9/2020,"
",3/9/2020,"
","
","
","
","
","
","
"
Amoxapine Tablets,Teva Pharmaceuticals,800-545-8800,"100 mg, 100 tablets (NDC 0591-5715-01)",Reverified,1/5/2021,Available,"
","
","
",Psychiatry,Current,3/9/2020,"
",3/9/2020,"
","
","
","
","
","
","
"
Amoxapine Tablets,Teva Pharmaceuticals,800-545-8800,"150 mg, 100 tablets (NDC 0591-5716-01)",Reverified,1/5/2021,Available,"
","
","
",Psychiatry,Current,3/9/2020,"
",3/9/2020,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"5 mg, 100 Count Bottle (NDC 68382-950-01)",Reverified,10/13/2020,Available; allocating inventory.,Product is on allocation to its current committed customers.,"
",Shortage of an active ingredient,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"7.5 mg, 100 Count Bottle (NDC 68382-951-01)",Reverified,10/13/2020,Available; allocating inventory.,Product is on allocation to its current committed customers.,"
",Shortage of an active ingredient,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"10 mg, 100 Count Bottle (NDC 68382-952-01)",Reverified,10/13/2020,Available; allocating inventory.,Product is on allocation to its current committed customers.,"
",Shortage of an active ingredient,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"12.5 mg, 100 Count Bottle (NDC 68382-953-01)",Reverified,10/13/2020,Available; allocating inventory.,Product is on allocation to its current committed customers.,"
",Shortage of an active ingredient,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"15 mg, 100 Count Bottle (NDC 68382-954-01)",Reverified,10/13/2020,Available; allocating inventory.,Product is on allocation to its current committed customers.,"
",Shortage of an active ingredient,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"20 mg, 100 Count Bottle (NDC 68382-955-01)",Reverified,10/13/2020,Available; allocating inventory.,Product is on allocation to its current committed customers.,"
",Shortage of an active ingredient,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"30 mg, 100 Count Bottle (NDC 68382-956-01)",Reverified,10/13/2020,Available; allocating inventory.,Product is on allocation to its current committed customers.,"
",Shortage of an active ingredient,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Sandoz,800-525-8747,"30 mg, 100 Count Bottle (NDC 0185-0864-01)",Reverified,1/5/2021,Available,"
","
",Demand increase for the drug,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Sandoz,800-525-8747,"20 mg, 100 Count Bottle (NDC 0185-0853-01)",Reverified,1/5/2021,Available,"
","
",Demand increase for the drug,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Sandoz,800-525-8747,"10 mg, 100 Count Bottle (NDC 0185-0842-01)",Reverified,1/5/2021,Available,"
","
",Demand increase for the drug,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Sandoz,800-525-8747,"5 mg, 100 Count Bottle (NDC 0185-0831-01)",Reverified,1/5/2021,Available,"
","
",Demand increase for the drug,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,Adderall(R) Tablets 10mg 100 (NDC 57844-0110-01),Revised,1/5/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,Adderall(R) Tablets 12.5mg 100 (NDC 57844-0112-01),Revised,1/5/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,Adderall(R) Tablets 15mg 100 (NDC 57844-0115-01),Revised,1/5/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,Adderall(R) Tablets 20mg 100 (NDC 57844-0120-01),Revised,1/5/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,Adderall(R) Tablets 30mg 100 (NDC 57844-0130-01),Revised,1/5/2021,Available,"
","
",Other,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,Adderall(R) Tablets 5mg 100 (NDC 57844-0105-01),Revised,1/5/2021,"Product has short-dated, next supply is targeted for Mar 2021",Recovery: March 2021,"
",Other,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,Adderall(R) Tablets 7.5mg 100 (NDC 57844-0117-01),Revised,1/5/2021,"Product has short-dated, next supply is targeted for Feb 2021",Recovery Feb 2021,"
",Other,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,5mg [1.25/1.25/1.25/1.25mg] 100s (NDC 0378-4541-01),Reverified,1/8/2021,Out of Stock – Resupply TBD,"
","
",Other,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,7.5mg [1.875/1.875/1.875/1.875mg] 100s (NDC 0378-4542-01),Reverified,1/8/2021,Out of Stock – Resupply TBD,"
","
",Other,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,10mg [2.5/2.5/2.5/2.5mg] 100s (NDC 0378-4543-01),Reverified,1/8/2021,Out of Stock – Resupply TBD,"
","
",Other,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,12.5mg [3.125/3.125/3.125/3.125mg] 100s (NDC 0378-4544-01),Reverified,1/8/2021,Out of Stock – Resupply TBD,"
","
",Other,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,15mg [3.75/3.75/3.75/3.75mg] 100s (NDC 0378-4545-01),Reverified,1/8/2021,Out of Stock – Resupply TBD,"
","
",Other,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,20mg [5/5/5/5mg] 100s (NDC 0378-4546-01),Reverified,1/8/2021,Out of Stock – Resupply TBD,"
","
",Other,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,30mg [7.5/7.5/7.5/7.5mg] 100s (NDC 0378-4547-01),Reverified,1/8/2021,Out of Stock – Resupply TBD,"
","
",Other,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Aurobindo Pharma,732-839-9400,"Amphetamine Mixed Salts Tablets C-II 5 mg, 100 (NDC 13107-0068-01)",Reverified,9/25/2020,Available,"
","
",Demand increase for the drug,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Aurobindo Pharma,732-839-9400,"Amphetamine Mixed Salts Tablets C-II 10 mg, 100 (NDC 13107-0070-01)",Reverified,9/25/2020,Available,"
","
",Demand increase for the drug,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Aurobindo Pharma,732-839-9400,"Amphetamine Mixed Salts Tablets C-II 15 mg, 100 (NDC 13107-0072-01)",Reverified,9/25/2020,Available,"
","
",Demand increase for the drug,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Aurobindo Pharma,732-839-9400,"Amphetamine Mixed Salts Tablets C-II 20 mg, 100 (NDC 13107-0073-01)",Reverified,9/25/2020,Available,"
","
",Demand increase for the drug,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Aurobindo Pharma,732-839-9400,"Amphetamine Mixed Salts Tablets C-II 30 mg, 100 (NDC 13107-0074-01)",Reverified,9/25/2020,Available,"
","
",Demand increase for the drug,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,12.5  mg 100 count (NDC 0555-0776-02),Revised,1/5/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,15  mg 100 count (NDC 0555-0777-02),Revised,1/5/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,7.5  mg 100 count (NDC 0555-0775-02),Revised,1/5/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,10  mg 100 count (NDC 0555-0972-02),Revised,1/5/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,20 mg 100 count (NDC 0555-0973-02),Revised,1/5/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,30 mg 100 count (NDC 0555-0974-02),Revised,1/5/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,5 mg 100 count (NDC 0555-0971-02),Revised,1/5/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
"Ampicillin for Injection, USP","Hospira, Inc.",844-646-4398,250 mg/vial; Single Dose Vial (powder) (NDC 00409-3719-01),New,12/14/2020,"
",Discontinuation of the manufacture of the drug,"
","
",Antiviral,To be Discontinued,12/14/2020,12/14/2020,12/14/2020,"
","
","
","
","
","
","
"
Anagrelide Hydrochloride Capsules,Teva Pharmaceuticals,800-545-8800,1 MG 100 Capsules (NDC 0172-5240-60),Reverified,1/5/2021,"Limited inventory, on allocation","
","
",Requirements related to complying with good manufacturing practices,Hematology,Current,"
","
",10/29/2019,"
","
","
","
","
","
","
"
Anagrelide Hydrochloride Capsules,Teva Pharmaceuticals,800-545-8800,0.5 MG 100 Capsules (NDC 0172-5241-60),Reverified,1/5/2021,"Limited inventory, on allocation","
","
",Requirements related to complying with good manufacturing practices,Hematology,Current,"
","
",10/29/2019,"
","
","
","
","
","
","
"
Anagrelide Hydrochloride Capsules,Shire US Inc. now part of Takeda,800-828-2088,"AGRYLIN 0.5 mg Capsule,100 capsules in 1 bottle (NDC 54092-063-01)",Reverified,12/11/2020,Available,Takeda is actively working to mitigate a recent unexpected increase in demand for the product.,"
",Demand increase for the drug,Hematology,Current,"
","
",10/29/2019,"
","
","
","
","
","
","
"
Anagrelide Hydrochloride Capsules,Torrent Pharma Inc.,908-280-3333,0.5 mg per capsule Bottles of 100 (NDC 13668-453-01),Revised,12/8/2020,Available and shipping,"
","
",Other,Hematology,Current,"
","
",10/29/2019,"
","
","
","
","
","
","
"
Anagrelide Hydrochloride Capsules,Torrent Pharma Inc.,908-280-3333,"1 mg per capsule, Bottles of 100 (NDC 13668-462-01)",Revised,12/8/2020,Available and shipping,"
","
",Other,Hematology,Current,"
","
",10/29/2019,"
","
","
","
","
","
","
"
Anastrozole Tablets,Apotex Corp.,800-706-5575,1 mg tablets (NDC 60505-2985-3),New,1/21/2020,"
","
","
","
",Oncology,To be Discontinued,1/21/2020,1/21/2020,1/21/2020,"
","
","
","
","
","
","
"
Argatroban Injection,Novartis,888-669-6682,"250 mg/2.5 mL (100 mg/mL), single dose vial (NDC 0078-0930-61)",New,1/15/2020,"
","Novartis Pharmaceuticals has made a business decision to permanently discontinue the product Argatroban Injection, Vial 250 mg/2.5 mL.","
","
",Hematology,To be Discontinued,1/15/2020,1/15/2020,1/15/2020,"
","
","
","
","
","
","
"
Asparaginase Erwinia Chrysanthemi (Erwinaze),"Jazz Pharmaceuticals, Inc.",800-520-5568,"ERWINAZE 10,000 IU lyophilized powder supplied in a clear 3 mL glass vial 5 vial carton (NDC 57902-249-05)",Revised,1/5/2021,Available,"
","
",Other,Hematology;Oncology;Pediatric,Current,"
","
",10/14/2016,"
","
","
","
",https://www.fda.gov/media/144734/download,"
","
"
