Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
Abacavir Sulfate and Lamivudine Tablets,Teva Pharmaceuticals,800-545-8800,600 mg and 300 mg  (NDC 0093-5382-56),New,10/2/2020,"
","
","
","
",Antiviral,To be Discontinued,10/2/2020,10/2/2020,10/2/2020,"
","
","
","
","
","
","
"
Abiraterone Acetate Tablets,"Janssen Research and Development, LLC",800-526-7736,250 mg tablets (NDC 57894-155-12),New,6/5/2020,"
","
","
","
",Oncology,To be Discontinued,6/5/2020,6/5/2020,6/5/2020,"
","
","
","
","
","
","
"
Acetaminophen/Tramadol Hydrochloride (Ultracet) Tablets,Janssen Pharmaceuticals,800-526-7736,325 mg/1 unit || 37.5 mg/1 unit (NDC 50458-650-60),New,4/1/2020,"
","The Company has made a business decision to permanently discontinue Ultracet. Product should be maintained on the formularies until the last batch produced expires (31 Oct 2022), in order to maintain continuity of the reimbursement process.","
","
",Analgesia/Addiction,To be Discontinued,4/1/2020,4/1/2020,4/1/2020,"
","
","
","
","
","
","
"
Acetazolamide Injection,"Mylan Institutional, a Viatris company",800-796-9526,"500 mg, Lyophilisate in Single Dose Vials 1PK (NDC 67457-853-50)",Reverified,7/20/2021,Available,"
","
",Demand increase for the drug,Cardiovascular;Ophthalmology,Current,"
","
",12/2/2020,"
","
","
","
","
","
","
"
Acetazolamide Injection,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,500 mg per vial (NDC 0143-9503-01),Revised,7/6/2021,Inventory is currently available.,Product will be made available as it is released.,"
",Demand increase for the drug,Cardiovascular;Ophthalmology,Current,"
","
",12/2/2020,"
","
","
","
","
","
","
"
Acetazolamide Injection,"X-GEN Pharmaceuticals, Inc.",866-390-4411,500mg per vial (NDC 39822-0190-1),Revised,7/8/2021,Available,Check wholesaler inventory,"
",Demand increase for the drug,Cardiovascular;Ophthalmology,Current,"
","
",12/2/2020,"
","
","
","
","
","
","
"
Acitretin Capsules,GlaxoSmithKline,888-825-5249,25 mg (NDC 0145-0091-25),New,4/23/2021,"
",This product discontinuation is a business-related decision. The anticipated date that GSK will cease distribution of the product is approximately September 2021.,"
","
",Dermatology,To be Discontinued,4/23/2021,4/23/2021,4/23/2021,"
","
","
","
","
","
","
"
Acitretin Capsules,GlaxoSmithKline,888-825-5249,10 mg (NDC 0145-0090-25),New,4/23/2021,"
",This product discontinuation is a business-related decision. The anticipated date that GSK will cease distribution of the product is approximately September 2021.,"
","
",Dermatology,To be Discontinued,4/23/2021,4/23/2021,4/23/2021,"
","
","
","
","
","
","
"
Acrivastine and Pseudoephedrine Hydrochloride Capsules,"Endo Pharmaceuticals, Inc.",800-462-3636,"Semprex-D Capsules, 8 mg/ 60mg , 100 capsules, (NDC 52244-404-10)",New,6/2/2020,"
",Endo has made a business decision to permanently discontinue the drug product.,"
","
",Pulmonary/Allergy,To be Discontinued,6/2/2020,6/2/2020,6/2/2020,"
","
","
","
","
","
","
"
Acyclovir Ointment 5%,"Tolmar Pharmaceuticals, Inc.",877-986-5627,15 mg (NDC 63646-300-15),New,12/15/2020,"
","
","
","
",Dermatology,To be Discontinued,12/15/2020,12/15/2020,12/15/2020,"
","
","
","
","
","
","
"
Acyclovir Ointment 5%,"Tolmar Pharmaceuticals, Inc.",877-986-5627,30 mg (NDC 63646-300-30),New,12/15/2020,"
","
","
","
",Dermatology,To be Discontinued,12/15/2020,12/15/2020,12/15/2020,"
","
","
","
","
","
","
"
Adalimumab (Humira) Pre-filled Syringe,Abbvie,800-255-5162,10 mg/0.2 mL pre-filled syringe (NDC 0074-6347-02),New,7/27/2020,"
",The company has discontinued manufacture of these products based on a market assessment and product demand.,"
","
",Dermatology;Gastroenterology;Ophthalmology;Rheumatology,To be Discontinued,7/27/2020,7/27/2020,7/27/2020,"
","
","
","
","
","
","
"
Adalimumab (Humira) Pre-filled Syringe,Abbvie,800-255-5162,20 mg/0.4 mL pre-filled syringe (NDC 0074-9374-02),New,7/27/2020,"
",The company has discontinued manufacture of these products based on a market assessment and product demand.,"
","
",Dermatology;Gastroenterology;Ophthalmology;Rheumatology,To be Discontinued,7/27/2020,7/27/2020,7/27/2020,"
","
","
","
","
","
","
"
Adapalene/Benzoyl Peroxide Topical Gel,Teva Pharmaceuticals,800-545-8800,0.1/2.5% PMP 45 g (NDC 0472-0310-38),New,1/27/2021,"
",Discontinuation of the manufacture of the drug.,"
","
",Dermatology,To be Discontinued,1/27/2021,1/27/2021,1/27/2021,"
","
","
","
","
","
","
"
"Albuterol Sulfate Aerosol, Metered","Endo Pharmaceuticals, Inc.","800-828-9393, option 5, then option 2",90 mcg  (NDC 0254-1007-52),New,7/6/2021,"
","
","
","
",Pulmonary/Allergy,To be Discontinued,7/6/2021,7/6/2021,7/6/2021,"
","
","
","
","
","
","
"
Alfentanil Injection,"Hospira, Inc.",844-646-4398,1 mg/2 mL (500 mcg/mL) Glass Ampul (NDC 00409-2266-02),New,3/25/2020,"
",Discontinuation of the manufacture of the drug. Current supply exhausted.,"
","
",Analgesia/Addiction;Anesthesia,To be Discontinued,3/25/2020,3/25/2020,3/25/2020,"
","
","
","
","
","
","
"
Alfentanil Injection,"Hospira, Inc.",844-646-4398,2.5 mg/5 mL (500 mcg/mL) Glass Ampul (NDC 00409-2266-05),New,3/25/2020,"
",Discontinuation of the manufacture of the drug. Current supply expected to deplete by May/June 2020 timeframe.,"
","
",Analgesia/Addiction;Anesthesia,To be Discontinued,3/25/2020,3/25/2020,3/25/2020,"
","
","
","
","
","
","
"
Alprostadil Suppository,"Mylan Specialty, a Viatris Company",800-796-9526,125 mcg (NDC 0037-8110-06),New,6/14/2021,"
","
","
","
",Urology,To be Discontinued,6/14/2021,6/14/2021,6/14/2021,"
","
","
","
","
","
","
"
