id,generic_name,company_name,contact_info,presentation,update_type,update_date,availability,related_info,resolved_note,reason_for_shortage,therapeutic_category,status,change_date,date_discontinued
9555,"Abacavir Sulfate Tablet, Film Coated",GlaxoSmithKline,888-825-5249,"Ziagen, Tablet, Film Coated, 300 mg (NDC 49702-221-18)",New,1/3/23,,"The anticipated date that GSK will cease distribution of the product is approximately November 27, 2023. Ziagen Oral Solution (49702-222-48) will still be available.",,Discontinuation of the manufacture of the drug,Antiviral,To Be Discontinued,1/3/23,1/3/23
9556,"Abacavir Sulfate, Lamivudine Tablet, Film Coated",GlaxoSmithKline (ViiV Healthcare),888-825-5249,"Epzicom, Tablet, Film Coated, 600 mg; 300 mg (NDC 49702-206-13)",New,1/3/23,,"The anticipated date that GSK will cease distribution of the product is approximately January 1, 2024.",,,Antiviral,To Be Discontinued,1/3/23,1/3/23
9557,"Abacavir Sulfate, Lamivudine, Zidovudine Tablet, Film Coated",GlaxoSmithKline (ViiV Healthcare),888-825-5249,"Trizivir, Tablet, Film Coated, 300 mg; 150 mg; 300 mg (NDC 49702-217-18)",New,1/3/23,,"The anticipated date that GSK will cease distribution of the product is approximately November 27, 2023.",,,Antiviral,To Be Discontinued,1/3/23,1/3/23
9558,"Albuterol Sulfate Aerosol, Metered",Sandoz Inc.,800-525-8747,"Proventil-hfa, Aerosol, Metered, 108 ug (NDC 66758-959-85)",New,4/13/23,,,,,Pulmonary/Allergy,To Be Discontinued,4/13/23,4/13/23
9559,Albuterol Sulfate Solution,Nephron Pharmaceuticals Corporation,800-443-4313,"Albuterol Sulfate, Solution, 2.5 mg/.5 mL (NDC 0487-9901-30)",Revised,12/20/23,"This product is currently available on allocation., At least 6 months until it is off allocation",,,Demand increase for the drug,Pulmonary/Allergy; Pediatric,Current,,
9560,Alclometasone Dipropionate Cream,Sandoz Inc.,800-525-8747,"Cream, .5 mg/1 g (NDC 0168-0263-60)",New,11/27/23,,,,Discontinuation of the manufacture of the drug,Dermatology,To Be Discontinued,,11/27/23
9561,Alclometasone Dipropionate Cream,Sandoz Inc.,800-525-8747,"Cream, .5 mg/1 g (NDC 0168-0263-45)",New,11/27/23,,,,Discontinuation of the manufacture of the drug,Dermatology,To Be Discontinued,,11/27/23
9562,Alclometasone Dipropionate Cream,Sandoz Inc.,800-525-8747,"Cream, .5 mg/1 g (NDC 0168-0263-15)",New,11/27/23,,,,Discontinuation of the manufacture of the drug,Dermatology,To Be Discontinued,,11/27/23
9563,Alclometasone Dipropionate Ointment,Sandoz Inc.,800-525-8747,"Alclometasone Dipropionate, Ointment, .5 mg/1 g (NDC 0168-0264-15)",Revised,3/16/23,,,,,Dermatology,To Be Discontinued,3/16/23,3/16/23
9564,Alclometasone Dipropionate Ointment,Sandoz Inc.,800-525-8747,"Alclometasone Dipropionate, Ointment, .5 mg/1 g (NDC 0168-0264-45)",Revised,3/16/23,,,,,Dermatology,To Be Discontinued,3/16/23,3/16/23
9565,Alclometasone Dipropionate Ointment,Sandoz Inc.,800-525-8747,"Alclometasone Dipropionate, Ointment, .5 mg/1 g (NDC 0168-0264-60)",Revised,3/16/23,,,,,Dermatology,To Be Discontinued,3/16/23,3/16/23
9566,Alprostadil Suppository,"Mylan Institutional, a Viatris Company",800-796-9526,"Muse, Suppository, 250 ug (NDC 0037-8120-06)",Reverified,12/21/23,Out of stock; Estimated release dates to be determined,,,Delay in shipping of the drug,Urology,Current,,
9567,Alprostadil Suppository,"Mylan Institutional, a Viatris Company",800-796-9526,"Muse, Suppository, 500 ug (NDC 0037-8130-06)",Reverified,12/21/23,Out of stock; Estimated release dates to be determined,,,Delay in shipping of the drug,Urology,Current,,
9568,Alprostadil Suppository,"Mylan Institutional, a Viatris Company",800-796-9526,"Muse, Suppository, 1000 ug (NDC 0037-8140-06)",Reverified,12/21/23,Out of stock; Estimated release dates to be determined,,,Delay in shipping of the drug,Urology,Current,,
9569,Alvimopan Capsule,Merck Sharp & Dohme LLC,800-672-6372,"Entereg, Capsule, 12 mg (NDC 67919-020-10)",New,3/2/23,,"To be discontinued May 31, 2023",,,Gastroenterology,To Be Discontinued,3/2/23,3/2/23
9570,Amifostine Injection,"Clinigen, Inc.",877-776-5385,"Ethyol, Injection, 500 mg/10 mL (NDC 76310-017-50)",Reverified,5/16/22,Shortage anticipated from June 2020; Estimated shortage duration:  Unknown,,,,Oncology; Other,Current,,
9571,Amino Acid Injection,B. Braun Medical Inc.,800-227-2862,"Plenamine, Injection, 0.15 (NDC 0264-4500-00)",Reverified,12/19/23,Available,,,,Gastroenterology,Current,,
