id,generic_name,company_name,contact_info,presentation,update_type,update_date,availability,related_info,resolved_note,reason_for_shortage,therapeutic_category,status,change_date,date_discontinued
2233,Abacavir Sulfate and Lamivudine Tablets,Teva Pharmaceuticals,800-545-8800,600 mg and 300 mg  (NDC 0093-5382-56),New,10/2/20,,,,,Antiviral,To be Discontinued,10/2/20,10/2/20
2234,Abciximab (ReoPro) Injection,"Janssen Biotech, Inc.",800-586-7736,2mg/mL (NDC 57894-200-01),Revised,8/15/19,,Janssen has made a business decision to discontinue manufacture of the drug product.,,,Cardiovascular,To be Discontinued,8/15/19,8/15/19
2235,Abiraterone Acetate Tablets,"Janssen Research and Development, LLC",800-526-7736,250 mg tablets (NDC 57894-155-12),New,6/5/20,,,,,Oncology,To be Discontinued,6/5/20,6/5/20
2236,Acarbose (Precose) Tablets,Bayer,888-842-2937,Bottles of 100 Tablets 25 mg (NDC 50419-863-51),New,2/1/19,,Business decision to discontinue marketing in the US.,,,Endocrinology/Metabolism,To be Discontinued,2/1/19,2/1/19
2237,Acarbose (Precose) Tablets,Bayer,888-842-2937,Bottles of 100 Tablets 50 mg (NDC 50419-861-51),New,2/1/19,,Business decision to discontinue marketing in the US.,,,Endocrinology/Metabolism,To be Discontinued,2/1/19,2/1/19
2238,Acarbose (Precose) Tablets,Bayer,888-842-2937,Bottles of 100 Tablets 100 mg (NDC 50419-862-51),New,2/1/19,,Business decision to discontinue marketing in the US.,,,Endocrinology/Metabolism,To be Discontinued,2/1/19,2/1/19
2239,Acarbose (Precose) Tablets,Bayer,888-842-2937,Unit Dose 50 mg (NDC 50419-861-48),New,2/1/19,,Business decision to discontinue marketing in the US.,,,Endocrinology/Metabolism,To be Discontinued,2/1/19,2/1/19
2240,Acetaminophen/Tramadol Hydrochloride (Ultracet) Tablets,Janssen Pharmaceuticals,800-526-7736,325 mg/1 unit || 37.5 mg/1 unit (NDC 50458-650-60),New,4/1/20,,"The Company has made a business decision to permanently discontinue Ultracet. Product should be maintained on the formularies until the last batch produced expires (31 Oct 2022), in order to maintain continuity of the reimbursement process.",,,Analgesia/Addiction,To be Discontinued,4/1/20,4/1/20
2241,Acrivastine and Pseudoephedrine Hydrochloride Capsules,"Endo Pharmaceuticals, Inc.",800-462-3636,"Semprex-D Capsules, 8 mg/ 60mg , 100 capsules, (NDC 52244-404-10)",New,6/2/20,,Endo has made a business decision to permanently discontinue the drug product.,,,Pulmonary/Allergy,To be Discontinued,6/2/20,6/2/20
2242,"Acyclovir Capsules, USP",Teva Pharmaceuticals,800-545-8800,"200 mg, 100 count (NDC 0093-8940-01)",New,3/21/19,,Teva made a business decision to discontinue product.,,,Antiviral,To be Discontinued,3/21/19,3/21/19
