id,generic_name,company_name,contact_info,presentation,update_type,update_date,availability,related_info,resolved_note,reason_for_shortage,therapeutic_category,status,change_date,date_discontinued
7161,Abiraterone Acetate Tablets,"Janssen Research and Development, LLC",800-526-7736,250 mg tablets (NDC 57894-155-12),New,6/5/20,,,,,Oncology,To be Discontinued,,
7162,Acetaminophen (Ofirmev) Injection,Mallinckrodt,800-325-8888,"OFIRMEV® (Acetaminophen) Injection 1 g/100 mL (10 mg/mL), (NDC 43825-102-01, 43825-102-03)",New,6/9/22,,,,,Analgesia/Addiction,To be Discontinued,,
7163,Acetazolamide Injection,"Avet Pharmaceuticals, Inc. (formerly Heritage Pharma)",855-228-9470,500 mg (NDC 23155-313-31),Revised,6/17/22,Available,,,,Cardiovascular;Ophthalmology,Resolved,,
7164,Acetazolamide Injection,"Mylan Institutional, a Viatris company",800-796-9526,"500 mg, Lyophilisate in Single Dose Vials 1PK (NDC 67457-853-50)",Revised,6/17/22,Available,,,,Cardiovascular;Ophthalmology,Resolved,,
7165,Acetazolamide Injection,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,500 mg per vial (NDC 0143-9503-01),Revised,6/17/22,This presentation is temporarily on backorder.,,,,Cardiovascular;Ophthalmology,Resolved,,
7166,Acetazolamide Injection,"X-GEN Pharmaceuticals, Inc.",866-390-4411,500mg per vial (NDC 39822-0190-1),Revised,6/17/22,Available,,,,Cardiovascular;Ophthalmology,Resolved,,
7167,Acetic Acid Otic Solution,Wockhardt Bio A.G.,847-410-6929,"2% 15ml, (NDC 60432-741-15)",New,6/22/22,,,,,Anti-infective,To be Discontinued,,
7168,Acrivastine and Pseudoephedrine Hydrochloride Capsules,"Endo Pharmaceuticals, Inc.",800-462-3636,"Semprex-D Capsules, 8 mg/ 60mg , 100 capsules, (NDC 52244-404-10)",New,6/2/20,,,,,Pulmonary/Allergy,To be Discontinued,,
7169,Adalimumab (Humira) Pre-filled Syringe,Abbvie,800-255-5162,10 mg/0.2 mL pre-filled syringe (NDC 0074-6347-02),New,7/27/20,,,,,Dermatology;Gastroenterology;Ophthalmology;Rheumatology,To be Discontinued,,
7170,Adalimumab (Humira) Pre-filled Syringe,Abbvie,800-255-5162,20 mg/0.4 mL pre-filled syringe (NDC 0074-9374-02),New,7/27/20,,,,,Dermatology;Gastroenterology;Ophthalmology;Rheumatology,To be Discontinued,,
7171,Adefovir Dipivoxil Tablets,"Gilead Sciences, Inc.",800-445-3235,10mg  (NDC 61958-0501-1),New,8/1/22,,,,,Antiviral,To Be Discontinued,8/1/22,8/1/22
7172,Adenosine Injection,Hospira,844-646-4398,90 mg/30 mL (3 mg/mL); Single Dose Glass Fliptop Vial (NDC 0409-1932-02),New,6/28/22,,,,,Cardiovascular,To be Discontinued,,
7173,Adenosine Injection,Teva,800-545-8800,NDC 0703-8776-01 (60 mg/20 mL (3 mg/mL)),New,8/11/22,,Product is currently unavailable and no future production expected for an extended period.,,,Cardiovascular,To be Discontinued,8/11/22,8/11/22
7174,Adenosine Injection,Teva,800-545-8800,NDC 0703-8777-01 (90 mg/30 mL (3 mg/mL)),New,8/11/22,,Product is  available with an expected supply duration until JUL 2022.  No future production expected for an extended period.,,,Cardiovascular,To be Discontinued,8/11/22,8/11/22
7175,Adenosine Injection,Hospira,844-646-4398,60 mg/20 mL (3 mg/mL); Single Dose Glass Fliptop Vial (NDC 0409-1932-01),New,9/12/22,,Discontinuation of the manufacture of the drug.,,,Cardiovascular,To be Discontinued,9/12/22,9/12/22
7176,"Albuterol Sulfate Aerosol, Metered","Endo Pharmaceuticals, Inc.","800-828-9393, option 5, then option 2",90 mcg  (NDC 0254-1007-52),New,7/6/21,,,,,Pulmonary/Allergy,To be Discontinued,,
7177,Aliskiren and Hydrochlorothiazide Tablets,Noden Pharma,844-399-5701,150 mg / 12.5 mg (NDC 70839-112-30),New,12/16/21,,,,,Cardiovascular,To be Discontinued,,
7178,Aliskiren and Hydrochlorothiazide Tablets,Noden Pharma,844-399-5701,150 mg / 25 mg (NDC 70839-125-30),New,12/16/21,,,,,Cardiovascular,To be Discontinued,,
7179,Aliskiren and Hydrochlorothiazide Tablets,Noden Pharma,844-399-5701,300 mg / 12.5 mg (NDC 70839-312-30),New,12/16/21,,,,,Cardiovascular,To be Discontinued,,
7180,Aliskiren and Hydrochlorothiazide Tablets,Noden Pharma,844-399-5701,300 mg / 25 mg; (NDC 70839-325-30),New,12/16/21,,,,,Cardiovascular,To be Discontinued,,
7181,Alprostadil Injection,Teva,800-545-8800,NDC 0703-1501-02 (500 mcg/mL 1 mL Single Dose Vial),New,8/11/22,,Product is currently unavailable and no future production expected for an extended period.,,,Pediatric; Cardiovascular,To be Discontinued,8/11/22,8/11/22
