id,generic_name,company_name,contact_info,presentation,update_type,update_date,availability,related_info,resolved_note,reason_for_shortage,therapeutic_category,status,change_date,date_discontinued
5110,Abacavir Sulfate and Lamivudine Tablets,Teva Pharmaceuticals,800-545-8800,600 mg and 300 mg  (NDC 0093-5382-56),New,10/2/20,,,,,Antiviral,To be Discontinued,10/2/20,10/2/20
5111,Abiraterone Acetate Tablets,"Janssen Research and Development, LLC",800-526-7736,250 mg tablets (NDC 57894-155-12),New,6/5/20,,,,,Oncology,To be Discontinued,6/5/20,6/5/20
5112,Acetazolamide Injection,"Mylan Institutional, a Viatris company",800-796-9526,"500 mg, Lyophilisate in Single Dose Vials 1PK (NDC 67457-853-50)",Reverified,11/29/21,Available,,,Demand increase for the drug,Cardiovascular;Ophthalmology,Current,,
5113,Acetazolamide Injection,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,500 mg per vial (NDC 0143-9503-01),Reverified,10/12/21,Inventory is currently available.,Product will be made available as it is released.,,Demand increase for the drug,Cardiovascular;Ophthalmology,Current,,
5114,Acetazolamide Injection,"X-GEN Pharmaceuticals, Inc.",866-390-4411,500mg per vial (NDC 39822-0190-1),Revised,7/8/21,Available,Check wholesaler inventory,,Demand increase for the drug,Cardiovascular;Ophthalmology,Current,,
5115,Acitretin Capsules,GlaxoSmithKline,888-825-5249,25 mg (NDC 0145-0091-25),New,4/23/21,,This product discontinuation is a business-related decision. The anticipated date that GSK will cease distribution of the product is approximately September 2021.,,,Dermatology,To be Discontinued,4/23/21,4/23/21
5116,Acitretin Capsules,GlaxoSmithKline,888-825-5249,10 mg (NDC 0145-0090-25),New,4/23/21,,This product discontinuation is a business-related decision. The anticipated date that GSK will cease distribution of the product is approximately September 2021.,,,Dermatology,To be Discontinued,4/23/21,4/23/21
5117,Acrivastine and Pseudoephedrine Hydrochloride Capsules,"Endo Pharmaceuticals, Inc.",800-462-3636,"Semprex-D Capsules, 8 mg/ 60mg , 100 capsules, (NDC 52244-404-10)",New,6/2/20,,Endo has made a business decision to permanently discontinue the drug product.,,,Pulmonary/Allergy,To be Discontinued,6/2/20,6/2/20
5118,Acyclovir Ointment 5%,"Tolmar Pharmaceuticals, Inc.",877-986-5627,15 mg (NDC 63646-300-15),New,12/15/20,,,,,Dermatology,To be Discontinued,12/15/20,12/15/20
5119,Acyclovir Ointment 5%,"Tolmar Pharmaceuticals, Inc.",877-986-5627,30 mg (NDC 63646-300-30),New,12/15/20,,,,,Dermatology,To be Discontinued,12/15/20,12/15/20
5120,Adalimumab (Humira) Pre-filled Syringe,Abbvie,800-255-5162,10 mg/0.2 mL pre-filled syringe (NDC 0074-6347-02),New,7/27/20,,The company has discontinued manufacture of these products based on a market assessment and product demand.,,,Dermatology;Gastroenterology;Ophthalmology;Rheumatology,To be Discontinued,7/27/20,7/27/20
5121,Adalimumab (Humira) Pre-filled Syringe,Abbvie,800-255-5162,20 mg/0.4 mL pre-filled syringe (NDC 0074-9374-02),New,7/27/20,,The company has discontinued manufacture of these products based on a market assessment and product demand.,,,Dermatology;Gastroenterology;Ophthalmology;Rheumatology,To be Discontinued,7/27/20,7/27/20
5122,Adapalene/Benzoyl Peroxide Topical Gel,Teva Pharmaceuticals,800-545-8800,0.1/2.5% PMP 45 g (NDC 0472-0310-38),New,1/27/21,,Discontinuation of the manufacture of the drug.,,,Dermatology,To be Discontinued,1/27/21,1/27/21
5123,"Albuterol Sulfate Aerosol, Metered","Endo Pharmaceuticals, Inc.","800-828-9393, option 5, then option 2",90 mcg  (NDC 0254-1007-52),New,7/6/21,,,,,Pulmonary/Allergy,To be Discontinued,7/6/21,7/6/21
5124,Alprostadil Suppository,"Mylan Specialty, a Viatris Company",800-796-9526,125 mcg (NDC 0037-8110-06),New,6/14/21,,,,,Urology,To be Discontinued,6/14/21,6/14/21
5125,Aluminum Hydroxide and Magnesium Carbonate (Gaviscon Regular Strength),GlaxoSmithKline,888-367-6471,"Gaviscon Liquid Regular Strength, 95 mg/15mL, 358 mg/15mL, Mint 12oz, (NDC 0135-0094-41)",New,8/6/21,,This product discontinuation is a business-related decision.,,,Gastroenterology,To be Discontinued,8/6/21,8/6/21
5126,Aluminum Hydroxide and Magnesium Carbonate (Gaviscon Regular Strength),GlaxoSmithKline,888-367-6471,"Gaviscon Liquid Regular Strength, 95 mg/15mL, 358 mg/15mL, Mint 6oz, (NDC 0135-0094-42)",New,8/6/21,,This product discontinuation is a business-related decision.,,,Gastroenterology,To be Discontinued,8/6/21,8/6/21
5127,Aluminum Hydroxide and Magnesium Carbonate (Gaviscon Regular Strength),GlaxoSmithKline,888-367-6471,"Gaviscon Chewable Tablet, Regular Strength, 80 mg/1, 14.2 mg/1, 100ct Bottle, (NDC 0135-0096-26)",New,8/6/21,,This product discontinuation is a business-related decision.,,,Gastroenterology,To be Discontinued,8/6/21,8/6/21
5128,Amantadine Hydrochloride Capsules,Teva Pharmaceuticals,800-545-8800,100 mg capsules (NDC 0591-4930-01 & 0591-4930-05),New,1/4/21,,A business decision was made to discontinue this presentation.,,,Antiviral;Neurology,To be Discontinued,1/4/21,1/4/21
5129,Amantadine Hydrochloride Capsules,Sandoz,800-525-8747,100 mg capsules  (NDCs 0781-2320-01 and 0781-2320-05),New,7/16/20,,,,,Antiviral;Neurology,To be Discontinued,7/16/20,7/16/20
5130,Amifostine Injection,"Clinigen, Inc.",877-776-5385,ETHYOL® (amifostine) for injection: 3 x 500 mg vials (NDC 76310-017-50),New,5/21/20,Shortage anticipated from June 2020; Estimated shortage duration:  Unknown,,,Other,Oncology;Other,Current,,
5131,Amino Acids,B. Braun Medical Inc.,800-227-2862,"Plenamine 15% Amino Acids Injection 1,000mL S4500 (NDC 00264-4500-00)",Reverified,8/9/21,Product on allocation to contracted customers,,,Other,Gastroenterology,Current,9/24/19,
5132,Amino Acids,"ICU Medical, Inc.",877-976-7747,Aminosyn II 15% Sulfite-Free BLK PK 2000 mL (Legacy Hospira NDC 0409-7171-17)(ICU Medical NDC 0990-7171-17),Reverified,11/10/21,Available to contracted customers only,"ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical.",,Other,Gastroenterology,Current,,
5133,Amino Acids,"ICU Medical, Inc.",877-946-7747,Aminosyn II 10% Sulfite-Free BLK PK 2000 mL (NDC 0409-7172-17) (ICU Medical NDC 0990-7172-17),Reverified,11/10/21,Available to contracted customers only,"ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical.",,Other,Gastroenterology,Current,,
5134,Amino Acids,"ICU Medical, Inc.",877-946-7747,"AMINOSYN™-PF 7%, Sulfite-Free, 500 mL (NDC 0409-4178-03)",Reverified,11/10/21,Unavailable,"ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical.",,Other,Gastroenterology,Current,,
5135,Amino Acids,"ICU Medical, Inc.",877-946-7747,"AMINOSYN II 10%, Sulfite-Free, (Pediatric Formula) 1000 mL (Legacy Hospira NDC 0409-4179-05) (ICU Medical NDC 0990-4179-05)",Reverified,11/10/21,Available to contracted customers only,"ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical.",,Other,Gastroenterology,Current,,
5136,Amino Acids,Baxter Healthcare,888-229-0001,"15% CLINISOL - sulfite-free (Amino Acid) Injection in VIAFLEX Plastic Container. Pharmacy Bulk Package. Not for Direct Infusion. Product Codes: 2B6189 15% 2000 mL (NDC 0338-0502-06), 2B6187 15% 500 mL (NDC 0338-0502-03)",Reverified,11/23/21,Available,,,,Gastroenterology,Current,,
5137,Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 200 mg, 60 count bottle (NDC 0185-0144-60)",New,2/23/18,,Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,,,Cardiovascular,To be Discontinued,2/23/18,2/23/18
5138,Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 200 mg, 90 count bottle (NDC 0185-0144-09)",New,2/23/18,,Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,,,Cardiovascular,To be Discontinued,2/23/18,2/23/18
5139,Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 200 mg, 500 count bottle (NDC 0185-0144-05)",New,2/23/18,,Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,,,Cardiovascular,To be Discontinued,2/23/18,2/23/18
5140,Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 400 mg, 500 count bottle (NDC 0245-0145-15)",New,2/23/18,,Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,,,Cardiovascular,To be Discontinued,2/23/18,2/23/18
5141,Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 400 mg, 30 count bottle (NDC 0245-0145-30)",New,2/23/18,,Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,,,Cardiovascular,To be Discontinued,2/23/18,2/23/18
5142,Amitriptyline Hydrochloride Tablets,"Mylan Specialty, a Viatris Company",800-796-9526,10 mg (NDCs 0378-2610-01 and 0378-2610-10),New,8/2/21,,,,,Psychiatry,To be Discontinued,8/2/21,8/2/21
5143,Amitriptyline Hydrochloride Tablets,"Mylan Specialty, a Viatris Company",800-796-9526,25 mg (NDCs 0378-2625-01 and 0378-2625-10),New,8/2/21,,,,,Psychiatry,To be Discontinued,8/2/21,8/2/21
5144,Amoxapine Tablets,Teva Pharmaceuticals,800-545-8800,"50 mg, 100 tablets (NDC 0591-5714-01)",Revised,11/8/21,Available,,,,Psychiatry,Current,3/9/20,
5145,Amoxapine Tablets,Teva Pharmaceuticals,800-545-8800,"25 mg, 100 tablets (NDC 0591-5713-01)",Revised,11/8/21,On backorder,Recovery Dec 2021,,Other,Psychiatry,Current,3/9/20,
5146,Amoxapine Tablets,Teva Pharmaceuticals,800-545-8800,"100 mg, 100 tablets (NDC 0591-5715-01)",Revised,11/8/21,Available,,,,Psychiatry,Current,3/9/20,
5147,Amoxapine Tablets,Teva Pharmaceuticals,800-545-8800,"150 mg, 30 tablets (NDC 00591-5716-30)",Revised,11/8/21,Available,Recovery Oct 2021,,,Psychiatry,Current,3/9/20,
5148,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"5 mg, 100 Count Bottle (NDC 68382-950-01)",Revised,7/12/21,,Availability and Estimated Shortage Duration (Discontinuance): January 2022,,,Psychiatry,To be Discontinued,7/12/21,7/12/21
5149,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"7.5 mg, 100 Count Bottle (NDC 68382-951-01)",Revised,7/12/21,,Availability and Estimated Shortage Duration (Discontinuance): January 2022,,,Psychiatry,To be Discontinued,7/12/21,7/12/21
5150,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"10 mg, 100 Count Bottle (NDC 68382-952-01)",Revised,7/12/21,,Availability and Estimated Shortage Duration (Discontinuance): January 2022,,,Psychiatry,To be Discontinued,7/12/21,7/12/21
5151,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"12.5 mg, 100 Count Bottle (NDC 68382-953-01)",Revised,7/12/21,,Availability and Estimated Shortage Duration (Discontinuance): January 2022,,,Psychiatry,To be Discontinued,7/12/21,7/12/21
5152,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"15 mg, 100 Count Bottle (NDC 68382-954-01)",Revised,7/12/21,,Availability and Estimated Shortage Duration (Discontinuance): January 2022,,,Psychiatry,To be Discontinued,7/12/21,7/12/21
5153,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"20 mg, 100 Count Bottle (NDC 68382-955-01)",Revised,7/12/21,,Availability and Estimated Shortage Duration (Discontinuance): January 2022,,,Psychiatry,To be Discontinued,7/12/21,7/12/21
5154,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"30 mg, 100 Count Bottle (NDC 68382-956-01)",Revised,7/12/21,,Availability and Estimated Shortage Duration (Discontinuance): January 2022,,,Psychiatry,To be Discontinued,7/12/21,7/12/21
5155,Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Sandoz,800-525-8747,"30 mg, 100 Count Bottle (NDC 0185-0864-01)",Reverified,11/16/21,Available,,,Demand increase for the drug,Psychiatry,Current,,
