id,generic_name,company_name,contact_info,presentation,update_type,update_date,availability,related_info,resolved_note,reason_for_shortage,therapeutic_category,status,change_date,date_discontinued
1,Abciximab (ReoPro) Injection,"Janssen Biotech, Inc.",800-586-7736,2mg/mL (NDC 57894-200-01),Revised,8/15/19,,Janssen has made a business decision to discontinue manufacture of the drug product.,,,Cardiovascular,To be Discontinued,8/15/19,8/15/19
2,Acarbose (Precose) Tablets,Bayer,888-842-2937,Bottles of 100 Tablets 25 mg (NDC 50419-863-51),New,2/1/19,,Business decision to discontinue marketing in the US.,,,Endocrinology/Metabolism,To be Discontinued,2/1/19,2/1/19
3,Acarbose (Precose) Tablets,Bayer,888-842-2937,Bottles of 100 Tablets 50 mg (NDC 50419-861-51),New,2/1/19,,Business decision to discontinue marketing in the US.,,,Endocrinology/Metabolism,To be Discontinued,2/1/19,2/1/19
4,Acarbose (Precose) Tablets,Bayer,888-842-2937,Bottles of 100 Tablets 100 mg (NDC 50419-862-51),New,2/1/19,,Business decision to discontinue marketing in the US.,,,Endocrinology/Metabolism,To be Discontinued,2/1/19,2/1/19
5,Acarbose (Precose) Tablets,Bayer,888-842-2937,Unit Dose 50 mg (NDC 50419-861-48),New,2/1/19,,Business decision to discontinue marketing in the US.,,,Endocrinology/Metabolism,To be Discontinued,2/1/19,2/1/19
6,Acyclovir (Zovirax) Tablets and Capsules,Mylan Pharmaceuticals Inc.,800-796-9526,Acyclovir (Zovirax) 200mg Capsules 100s (NDC 40076-991-55),New,12/21/18,,,,,Anti-Infective,To be Discontinued,12/21/18,12/21/18
7,Acyclovir (Zovirax) Tablets and Capsules,Mylan Pharmaceuticals Inc.,800-796-9526,Acyclovir (Zovirax) 400mg Tablets 100s (NDC 40076-949-55),New,12/21/18,,,,,Anti-Infective,To be Discontinued,12/21/18,12/21/18
8,Acyclovir (Zovirax) Tablets and Capsules,Mylan Pharmaceuticals Inc.,800-796-9526,Acyclovir (Zovirax) 800mg Tablets 100s (NDC 40076-945-55),New,12/21/18,,,,,Anti-Infective,To be Discontinued,12/21/18,12/21/18
9,"Acyclovir Capsules, USP",Teva Pharmaceuticals,800-545-8800,"200 mg, 100 count (NDC 0093-8940-01)",New,3/21/19,,Teva made a business decision to discontinue product.,,,Antiviral,To be Discontinued,3/21/19,3/21/19
10,"Acyclovir Capsules, USP",Teva Pharmaceuticals,800-545-8800,"200 mg, 500 count (NDC 0093-8940-05)",New,3/21/19,,Teva made a business decision to discontinue product.,,,Antiviral,To be Discontinued,3/21/19,3/21/19
11,"Acyclovir Tablets, USP",Teva Pharmaceuticals,800-545-8800,"400 mg, 100 count (NDC 0093-8943-01)",New,3/21/19,,Teva made a business decision to discontinue product.,,,Antiviral,To be Discontinued,3/21/19,3/21/19
12,"Acyclovir Tablets, USP",Teva Pharmaceuticals,800-545-8800,"400 mg, 500 count (NDC 0093-8943-05)",New,3/21/19,,Teva made a business decision to discontinue product.,,,Antiviral,To be Discontinued,3/21/19,3/21/19
13,"Acyclovir Tablets, USP",Teva Pharmaceuticals,800-545-8800,"800 mg, 100 count (NDC 0093-8947-01)",New,3/21/19,,Teva made a business decision to discontinue product.,,,Antiviral,To be Discontinued,3/21/19,3/21/19
14,"Acyclovir Tablets, USP",Teva Pharmaceuticals,800-545-8800,"800 mg, 500 count, (NDC 0093-8947-05)",New,3/21/19,,Teva made a business decision to discontinue product.,,,Antiviral,To be Discontinued,3/21/19,3/21/19
15,Albuterol Sulfate and Ipratropium Bromide Inhalation Solution,Teva Pharmaceuticals,800-545-8800,0.3 mg mg/3 mL and 0.5 mg/3 mL (NDC 0591-3817-39),New,7/3/19,,This product discontinuation is a business related decision.,,,Pulmonary/Allergy,To be Discontinued,7/3/19,7/3/19
16,Alogliptin Tablets,Perrigo Company PLC,269-673-8451,"12.5mg, 30 Tablets (NDC 45802-0103-65)",Revised,12/10/19,On backorder – expected release the week of late December/early January,,,Demand increase for the drug,Endocrinology/Metabolism,Current,,
17,Alogliptin Tablets,Perrigo Company PLC,269-673-8451,"25mg, 30 Tablets (NDC 45802-0150-65)",Revised,12/10/19,On backorder – expected release the week of 12/16/2019,,,Demand increase for the drug,Endocrinology/Metabolism,Current,,
18,Alogliptin Tablets,Perrigo Company PLC,269-673-8451,"6.25mg, 30 Tablets (NDC 45802-0087-65)",Revised,12/10/19,On backorder – expected release the week of 01/27/2020,,,Demand increase for the drug,Endocrinology/Metabolism,Current,,
19,Alogliptin Tablets,Takeda Pharmaceuticals USA Inc.,877-825-3327,"6.25 mg, 30 Tablets (NDC 64764-625-30)",New,8/15/19,Product available.,,,,Endocrinology/Metabolism,Current,,
20,Alogliptin Tablets,Takeda Pharmaceuticals USA Inc.,877-825-3327,"12.5 mg, 30 Tablets (NDC 64764-125-30)",New,8/15/19,Product available.,,,,Endocrinology/Metabolism,Current,,
21,Alogliptin Tablets,Takeda Pharmaceuticals USA Inc.,877-825-3327,"25 mg, 30 Tablets (NDC 64764-250-30)",New,8/15/19,Product available.,,,,Endocrinology/Metabolism,Current,,
22,Amino Acids,B. Braun Medical Inc.,800-227-2862,"15% Amino Acid (Plenamine) Pharmacy Bulk Package in 1,000 mL plastic container, catalog S4500, (NDC 0264-4500-00)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,
23,Amino Acids,B. Braun Medical Inc.,800-227-2862,"15% Amino Acid (Plenamine) in 1,000mL glass container, catalog S3200-SS, (NDC 0264-3200-55)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,9/24/19
24,Amino Acids,B. Braun Medical Inc.,800-227-2862,"10% FreAmine III (Amino Acid Injection) in 1,000mL glass container, catalog S9010-SS, (NDC 0264-9010-55)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,
25,Amino Acids,B. Braun Medical Inc.,800-227-2862,"TrophAmine (10% Amino Acid Injection) in 500mL glass container, catalog S9341-SS, (NDC 0264-9341-55)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,
26,Amino Acids,B. Braun Medical Inc.,800-227-2862,"TrophAmine (6% Amino Acid Injection) in 500mL glass container, catalog S9361-SS, (NDC 0264-9361-55)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,
27,Amino Acids,"ICU Medical, Inc.",877-946-7747,"AMINOSYN™-PF 7%, Sulfite-Free, 500 mL (NDC 0409-4178-03)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,
28,Amino Acids,"ICU Medical, Inc.",877-946-7747,"AMINOSYN II 10%, Sulfite-Free, (Pediatric Formula) 1000 mL (NDC 0409-4179-05)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,
29,Amino Acids,"ICU Medical, Inc.",877-946-7747,Aminosyn II 10% Sulfite-Free BLK PK 2000 mL (NDC 0409-7172-17),Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,
30,Amino Acids,"ICU Medical, Inc.",877-946-7747,Aminosyn II 15% Sulfite-Free BLK PK 2000 mL (NDC 0409-7171-17),Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,
31,Amino Acids,Baxter Healthcare,888-229-0001,"PREMASOL - sulfite-free (Amino Acid) Injection in VIAFLEX Plastic Container. Pharmacy Bulk Package. Not for Direct Infusion.  Product Codes: 2B0009 10% 1000 mL (NDC 0338-1130-04), 2B0010 10% 2000 mL (NDC 0338-1130-06),
2B0012 10% 500 mL (NDC 0338-1130-03)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,
32,Amino Acids,Baxter Healthcare,888-229-0001,"10% TRAVASOL (Amino Acid) Injection in VIAFLEX Plastic Container. Pharmacy Bulk Package. Not for Direct Infusion.  Product Codes: 1B6624 10% 1000 mL (NDC 0338-0644-04),
1B6623 10% 500 mL (NDC 0338-0644-03),
1B6626P 10% 2000 mL (NDC 0338-0644-06)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,
33,Amino Acids,Baxter Healthcare,888-229-0001,"15% CLINISOL - sulfite-free (Amino Acid) Injection in VIAFLEX Plastic Container. Pharmacy Bulk Package. Not for Direct Infusion.  Product Codes: 2B6189 15% 2000 mL (NDC 0338-0502-06), 2B6187 15% 500 mL (NDC 0338-0502-03)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,
34,Amino Acids,Baxter Healthcare,888-229-0001,"20% PROSOL - sulfite-free (Amino Acid) Injection, 2000 mL VIAFLEX Plastic Container. Pharmacy Bulk Package. Not for Direct Infusion.  Product Code 2B6186 (NDC 0338-0499-06)",Revised,9/24/19,,,,,Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/19,
